codigo,nombre,descripcion,unidad_de_medida_codigo,vigencia
00120101,"VEHICULO MOTORIZADO DONADO A GOBIERNO,MUNICIPIO,BENEFICENCIA O EDUCACION","VEHICULO MOTORIZADO DONADO A GOBIERNO,MUNICIPIO,BENEFICENCIA O EDUCACION",10,S
00120199,"LAS DEMAS DONACIONES Y SOCORROS ENVIADOS A GOBIERNO,MUNICIPIO,BENEF.EDUC.","LAS DEMAS DONACIONES Y SOCORROS ENVIADOS A GOBIERNO,MUNICIPIO,BENEF.EDUC.",6,S
00120200,"DONACIONES,SOCORROS PROCEDENTES DE INSTITUCIONES PUB.EXTRANJERAS A PART.","DONACIONES,SOCORROS PROCEDENTES DE INSTITUCIONES PUB.EXTRANJERAS A PART.",6,S
00120300,"TROFEOS,COPAS Y OTROS GANADOS EN EXTRANJERO POR DEPORTISTAS CHILENOS","TROFEOS,COPAS Y OTROS GANADOS EN EXTRANJERO POR DEPORTISTAS CHILENOS",6,S
00120400,"LIBROS,REVISTAS Y OTROS IMPRESOS DEL CULTO PARA COMINIDADES,MONASTERIOS IG","LIBROS,REVISTAS Y OTROS IMPRESOS DEL CULTO PARA COMINIDADES,MONASTERIOS IG",6,S
00120500,PREMIOS Y DONACIONES A CHILENOS GANADORES COMPETENCIAS Y CONCUROS INTERNAC,PREMIOS Y DONACIONES A CHILENOS GANADORES COMPETENCIAS Y CONCUROS INTERNAC,6,S
00130100,HERRAMIENTAS CUALQUIER CLASE PARA ENSE\ANZA IMPORTEN ESTABLECIMIENTOS INST,HERRAMIENTAS CUALQUIER CLASE PARA ENSE\ANZA IMPORTEN ESTABLECIMIENTOS INST,6,S
00130200,UTILES DE LABORATORIO IMPORTADOS POR ESTABLECIMIENTOS DE INSTRUCCION,UTILES DE LABORATORIO IMPORTADOS POR ESTABLECIMIENTOS DE INSTRUCCION,6,S
00139900,OTROS MATERIALES Y ARTEFACTOS PARA ENSE\ANZA IMPORTEN ESTABLECIMIENTOS INT,OTROS MATERIALES Y ARTEFACTOS PARA ENSE\ANZA IMPORTEN ESTABLECIMIENTOS INT,6,S
00140000,"EFECTOS OFICIOS DEL CULTO INTERNEN COMUNIDADES,MONASTERIOS O IGLESIAS","EFECTOS OFICIOS DEL CULTO INTERNEN COMUNIDADES,MONASTERIOS O IGLESIAS",6,S
00150000,FRAGMENTOS Y UTILES DE BUQUES NAUFRAGOS,FRAGMENTOS Y UTILES DE BUQUES NAUFRAGOS,6,S
00160000,"RANCHO NAVES,AERONAVES,VEHICULOS TRANSPORTE INTERNAC.,PASAJEROS Y TRIPUL.","RANCHO NAVES,AERONAVES,VEHICULOS TRANSPORTE INTERNAC.,PASAJEROS Y TRIPUL.",6,S
00170000,PRODUCTOS DE LA PESCA HECHA EN BUQUES NACIONALES,PRODUCTOS DE LA PESCA HECHA EN BUQUES NACIONALES,6,S
00190100,MUESTRAS SIN CARACTER COMERCIAL DESTINADAS A FERIAS INTERNACIONALES OFICIALES,MUESTRAS SIN CARACTER COMERCIAL DESTINADAS A FERIAS INTERNACIONALES OFICIALES,6,S
00198900,"OTRAS MUESTRAS DE MERCANCIAS, SIN CARACTER COMERCIAL","OTRAS MUESTRAS DE MERCANCIAS, SIN CARACTER COMERCIAL",6,S
00200000,"URNAS Y ATAUDES QUE CONTENGAN RESTOS HUMANOS,CORONAS Y ADORNOS FUNEBRES","URNAS Y ATAUDES QUE CONTENGAN RESTOS HUMANOS,CORONAS Y ADORNOS FUNEBRES",6,S
00210100,EQUIPAJE DE OFICIALES Y TRIPULANTES NAVES MARINA MERCANTE NACIONAL,EQUIPAJE DE OFICIALES Y TRIPULANTES NAVES MARINA MERCANTE NACIONAL,6,S
00210200,ARTICULOS DE MENAJE DE OFICIALES Y TRIPULANTES NAVES MARINA MERCANTE NAC.,ARTICULOS DE MENAJE DE OFICIALES Y TRIPULANTES NAVES MARINA MERCANTE NAC.,6,S
00210300,ROPA NUEVA DE OFICIALES Y TRIPULANTES NAVES MARINA MERCANTE NACIONAL,ROPA NUEVA DE OFICIALES Y TRIPULANTES NAVES MARINA MERCANTE NACIONAL,6,S
00210400,COMESTIBLES DE OFICIALES Y TRIPULANTES NAVES MARINA MERCANTE NACIONAL,COMESTIBLES DE OFICIALES Y TRIPULANTES NAVES MARINA MERCANTE NACIONAL,6,S
00230000,OBSEQUIOS SIN CARACTER COMERCIAL HASTA US $ 50 F.O.B.,OBSEQUIOS SIN CARACTER COMERCIAL HASTA US $ 50 F.O.B.,6,S
00240101,MAQUINAS DE COSER DOMESTICAS ARMADAS O ELABORADAS ZONA TRAT.ADUANERO ESP.,MAQUINAS DE COSER DOMESTICAS ARMADAS O ELABORADAS ZONA TRAT.ADUANERO ESP.,6,S
00240199,DEMAS MERCANCIAS IMPORTACION GENERAL PERMITIDA ARMADAS O ELAB.ZONA ESPEC.,DEMAS MERCANCIAS IMPORTACION GENERAL PERMITIDA ARMADAS O ELAB.ZONA ESPEC.,6,S
00248900,OTRAS MERCANCIAS ARMADAS O ELABORADAS ZONAS TRATAMIENTO ADUANERO ESPECIAL,OTRAS MERCANCIAS ARMADAS O ELABORADAS ZONAS TRATAMIENTO ADUANERO ESPECIAL,6,S
00250000,SERVICIOS CONSIDERADOS EXPORTACION,SERVICIOS CONSIDERADOS EXPORTACION,6,S
00260000,MEDICAMENTOS PDA.3004 SIN CARACTER COMERCIAL HASTA US$100 FOB.CON RECETA,MEDICAMENTOS PDA.3004 SIN CARACTER COMERCIAL HASTA US$100 FOB.CON RECETA,6,S
00290000,"EQUIPOS DIALIZADORES Y OXIGENADORES SANGRE,ARTICULOS Y APARAT.PDA.9019","EQUIPOS DIALIZADORES Y OXIGENADORES SANGRE,ARTICULOS Y APARAT.PDA.9019",6,S
00300100,MERCANCIAS PARA LAS AGENCIAS VOLUNTARIAS DE SOCORRO Y REHABILITACION,MERCANCIAS PARA LAS AGENCIAS VOLUNTARIAS DE SOCORRO Y REHABILITACION,6,S
00309900,MERCANCIAS ORGANISMOS INTERNACIONALES O A VIRTUD TRATADO GOBIERNO O UNIVERS.,MERCANCIAS ORGANISMOS INTERNACIONALES O A VIRTUD TRATADO GOBIERNO O UNIVERS.,6,S
00310000,"PARTES,PIEZAS,CONJUNTOS ARMADURIA VEHICULOS LEY 18483,DE 1985","PARTES,PIEZAS,CONJUNTOS ARMADURIA VEHICULOS LEY 18483,DE 1985",6,S
00320000,"CONJUNTOS,PARTES O PIEZAS IMPORTEN INDUSTRIAS ART. 7 LEY 18483, DE 1985","CONJUNTOS,PARTES O PIEZAS IMPORTEN INDUSTRIAS ART. 7 LEY 18483, DE 1985",6,S
00330100,"VEHICULO ITEM PDAS.8702,8703,8704 CHILENO REGRESE DE EXTRANJERO MAS 1 A\O","VEHICULO ITEM PDAS.8702,8703,8704 CHILENO REGRESE DE EXTRANJERO MAS 1 A\O",10,S
00330200,VEHICULO ITEM 87042130-2230-2311-2319-3130-3230 Y 9030 CHILENO REGRESE EXTERIO,VEHICULO ITEM 87042130-2230-2311-2319-3130-3230 Y 9030 CHILENO REGRESE EXTERIO,10,S
00330300,VEHICULO ITEM 87041000-2140-2240-2320-3140-3240 Y 9040 CHILENO REGRESE EXT,VEHICULO ITEM 87041000-2140-2240-2320-3140-3240 Y 9040 CHILENO REGRESE EXT,10,S
00330400,VEHICULO ITEM PDAS.8703 Y 8704 CHILENO REGRESE EXTRANJERO MAS UN A\O,VEHICULO ITEM PDAS.8703 Y 8704 CHILENO REGRESE EXTRANJERO MAS UN A\O,10,S
00340000,MERCANCIAS DESTINADAS AL USO O CONSUMO DE LAS BASES ANTARTICAS EN TERRIT.CHILE,MERCANCIAS DESTINADAS AL USO O CONSUMO DE LAS BASES ANTARTICAS EN TERRIT.CHILE,6,S
00350000,OBJETOS DE ARTE ORIG. EJECUTADOS POR ARTISTAS CHILENOS IMPORTADOS POR ELLOS,OBJETOS DE ARTE ORIG. EJECUTADOS POR ARTISTAS CHILENOS IMPORTADOS POR ELLOS,6,S
00350100,CUADROS Y PINTURAS,CUADROS Y PINTURAS,10,S
00350200,DIBUJOS,DIBUJOS,10,S
00350300,ESCULTURAS,ESCULTURAS,10,S
01011000,Reproductores de raza pura,Reproductores de raza pura,10,S
01019011,De carrera,De carrera,10,S
01019019,Los demás,Los demás,10,S
01019090,Los demás,Los demás,10,S
01021000,Reproductores de raza pura           ,Reproductores de raza pura           ,10,S
01029000,Los demás                                       ,Los demás                                       ,10,S
01031000,Reproductores de raza pura             ,Reproductores de raza pura             ,10,S
01039100,De peso inferior a 50 kg                    ,De peso inferior a 50 kg                    ,10,S
01039200,De peso superior o igual a 50 kg       ,De peso superior o igual a 50 kg       ,10,S
01041010,Reproductores de raza pura,Reproductores de raza pura,10,S
01041090,Los demás,Los demás,10,S
01042000,De la especie caprina                          ,De la especie caprina                          ,10,S
01051110,Reproductores,Reproductores,10,S
01051190,Los demás,Los demás,10,S
01051200,Pavos (gallipavos)                            ,Pavos (gallipavos)                            ,10,S
01051900,Los demás                                        ,Los demás                                        ,10,S
01059400,Gallos y gallinas ,Gallos y gallinas ,10,S
01059900,Los demás                                       ,Los demás                                       ,10,S
01061100,Primates,Primates,10,S
01061200,"Ballenas, delfines y marsopas (mamíferos del orden Cetáceos); manatíes y dugones o dugongos (mamífer","Ballenas, delfines y marsopas (mamíferos del orden Cetáceos); manatíes y dugones o dugongos (mamíferos del orden  Sirenios)",10,S
01061910,Camélidos,Camélidos,10,S
01061990,Los demás,Los demás,10,S
01062000,Reptiles (incluidas las serpientes y tortugas de mar),Reptiles (incluidas las serpientes y tortugas de mar),10,S
01063100,Aves de rapiña,Aves de rapiña,10,S
01063200,"Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos)","Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos)",10,S
01063900,Las demás,Las demás,10,S
01069000,Los demás,Los demás,10,S
02011000,En canales o medias canales                ,En canales o medias canales                ,6,S
02012000,Los demás cortes (trozos) sin deshuesar,Los demás cortes (trozos) sin deshuesar,6,S
02013000,Deshuesada,Deshuesada,6,S
02021000,En canales o medias canales                ,En canales o medias canales                ,6,S
02022000,Los demás cortes (trozos) sin deshuesar ,Los demás cortes (trozos) sin deshuesar ,6,S
02023000,Deshuesada,Deshuesada,6,S
02031100,En canales o medias canales               ,En canales o medias canales               ,6,S
02031200,"Piernas, paletas, y sus trozos, sin deshuesar","Piernas, paletas, y sus trozos, sin deshuesar",6,S
02031900,Las demás                                        ,Las demás                                        ,6,S
02032100,En canales o medias canales              ,En canales o medias canales              ,6,S
02032200,"Piernas, paletas, y sus trozos, sin deshuesar","Piernas, paletas, y sus trozos, sin deshuesar",6,S
02032910,Tocino con capa de carne adherida,Tocino con capa de carne adherida,6,S
02032920,Tocino entreverado de panza (panceta),Tocino entreverado de panza (panceta),6,S
02032930,Deshuesada,Deshuesada,6,S
02032990,Las demás,Las demás,6,S
02041000,"Canales o medias canales de cordero, frescas o refrigeradas","Canales o medias canales de cordero, frescas o refrigeradas",6,S
02042100,En canales o medias canales           ,En canales o medias canales           ,6,S
02042200,Los demás cortes (trozos) sin deshuesar,Los demás cortes (trozos) sin deshuesar,6,S
02042300,Deshuesadas                                   ,Deshuesadas                                   ,6,S
02043000,"Canales o medias canales de cordero, congeladas","Canales o medias canales de cordero, congeladas",6,S
02044100,En canales o medias canales              ,En canales o medias canales              ,6,S
02044210,Paleta,Paleta,6,S
02044220,Pierna,Pierna,6,S
02044230,Silla,Silla,6,S
02044290,Los demás,Los demás,6,S
02044300,Deshuesadas,Deshuesadas,6,S
02045000,Carne de animales de la especie caprina ,Carne de animales de la especie caprina ,6,S
02050000,"Carne de animales  de las especies caballar, asnal o mular, fresca, refrigerada o congelada","Carne de animales  de las especies caballar, asnal o mular, fresca, refrigerada o congelada",6,S
02061000,"De la especie bovina, frescos o refrigerados     ","De la especie bovina, frescos o refrigerados     ",6,S
02062100,Lenguas                                          ,Lenguas                                          ,6,S
02062200,Hígados                                          ,Hígados                                          ,6,S
02062900,Los demás                                      ,Los demás                                      ,6,S
02063000,"De la especie porcina, frescos o refrigerados","De la especie porcina, frescos o refrigerados",6,S
02064100,Hígados                                          ,Hígados                                          ,6,S
02064910,Manos y patas,Manos y patas,6,S
02064920,Orejas,Orejas,6,S
02064990,Los demás,Los demás,6,S
02068000,"Los demás, frescos o refrigerados","Los demás, frescos o refrigerados",6,S
02069000,"Los demás, congelados           ","Los demás, congelados           ",6,S
02071100,"Sin trocear, frescos o refrigerados    ","Sin trocear, frescos o refrigerados    ",6,S
02071210,Con un peso inferior a 2 kilos neto,Con un peso inferior a 2 kilos neto,6,S
02071290,Los demás,Los demás,6,S
02071300,"Trozos y despojos, frescos o refrigerados ","Trozos y despojos, frescos o refrigerados ",6,S
02071411,Pechugas,Pechugas,6,S
02071419,Los demás,Los demás,6,S
02071421,Mitades o cuartos,Mitades o cuartos,6,S
02071422,Pechugas y sus trozos,Pechugas y sus trozos,6,S
02071423,Muslos y sus trozos,Muslos y sus trozos,6,S
02071424,Alas,Alas,6,S
02071429,Los demás,Los demás,6,S
02071430,Despojos,Despojos,6,S
02072400,"Sin trocear, frescos o refrigerados     ","Sin trocear, frescos o refrigerados     ",6,S
02072500,"Sin trocear, congelados                     ","Sin trocear, congelados                     ",6,S
02072600,"Trozos y despojos, frescos o refrigerados ","Trozos y despojos, frescos o refrigerados ",6,S
02072710,Pechugas,Pechugas,6,S
02072790,Los demás,Los demás,6,S
02073200,"Sin trocear, frescos o refrigerados    ","Sin trocear, frescos o refrigerados    ",6,S
02073300,"Sin trocear, congelados                   ","Sin trocear, congelados                   ",6,S
02073400,"Hígados grasos, frescos o refrigerados ","Hígados grasos, frescos o refrigerados ",6,S
02073500,"Los demás, frescos o refrigerados     ","Los demás, frescos o refrigerados     ",6,S
02073600,"Los demás, congelados                      ","Los demás, congelados                      ",6,S
02081000,De conejo o liebre,De conejo o liebre,6,S
02083000,De primates,De primates,6,S
02084000,"De ballenas, delfines y marsopas (mamíferos del orden Cetáceos); de manatíes y dugones o dugongos (m","De ballenas, delfines y marsopas (mamíferos del orden Cetáceos); de manatíes y dugones o dugongos (mamíferos del orden Sirenios)",6,S
02085000,De reptiles (incluidas las serpientes y tortugas de mar),De reptiles (incluidas las serpientes y tortugas de mar),6,S
02089000,Los demás,Los demás,6,S
02090010,Frescos o refrigerados,Frescos o refrigerados,6,S
02090020,Congelados,Congelados,6,S
02090090,Los demás,Los demás,6,S
02101100,"Jamones, paletas, y sus trozos, sin deshuesar     ","Jamones, paletas, y sus trozos, sin deshuesar     ",6,S
02101200,Tocino entreverado de panza (panceta) y sus trozos,Tocino entreverado de panza (panceta) y sus trozos,6,S
02101900,Las demás                                                               ,Las demás                                                               ,6,S
02102000,Carne de la especie bovina                  ,Carne de la especie bovina                  ,6,S
02109100,De primates,De primates,6,S
02109200,"De ballenas, delfines y marsopas (mamíferos del orden Cetáceos); de manatíes y dugones o dugongos (m","De ballenas, delfines y marsopas (mamíferos del orden Cetáceos); de manatíes y dugones o dugongos (mamíferos del orden Sirenios)",6,S
02109300,De reptiles (incluidas las serpientes y tortugas de mar),De reptiles (incluidas las serpientes y tortugas de mar),6,S
02109900,Los demás,Los demás,6,S
03011000,Peces ornamentales                            ,Peces ornamentales                            ,6,S
03019100,"Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynch","Truchas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache y Oncorhynchus chrysogaster):",6,S
03019200,Anguilas (Anguilla spp.):,Anguilas (Anguilla spp.):,6,S
03019300,Carpas:,Carpas:,6,S
03019400,Atunes comunes o de aleta azul (Thunnus thynnus) ,Atunes comunes o de aleta azul (Thunnus thynnus) ,6,S
03019500,Atunes del sur (Thunnus maccoyii),Atunes del sur (Thunnus maccoyii),6,S
03019900,Los demás,Los demás,6,S
03021110,Enteras,Enteras,6,S
03021120,Descabezadas y evisceradas («HG»),Descabezadas y evisceradas («HG»),6,S
03021130,"Medallones (rodajas, «steak»)* ","Medallones (rodajas, «steak»)* ",6,S
03021190,Las demás,Las demás,6,S
03021211,Enteros,Enteros,6,S
03021212,Descabezados y eviscerados («HG»),Descabezados y eviscerados («HG»),6,S
03021213,"Medallones (rodajas, «steak»)* ","Medallones (rodajas, «steak»)* ",6,S
03021219,Los demás,Los demás,6,S
03021221,Enteros,Enteros,6,S
03021222,Descabezados y eviscerados («HG»),Descabezados y eviscerados («HG»),6,S
03021223,"Medallones (rodajas, «steak»)* ","Medallones (rodajas, «steak»)* ",6,S
03021229,Los demás,Los demás,6,S
03021900,Los demás,Los demás,6,S
03022100,"Halibut (fletán) (Reinhardtius hippoglossoides,Hippoglossus hippoglossus, Hippoglossus stenolepis)","Halibut (fletán) (Reinhardtius hippoglossoides,Hippoglossus hippoglossus, Hippoglossus stenolepis)",6,S
03022200,Sollas (Pleuronectes platessa)   ,Sollas (Pleuronectes platessa)   ,6,S
03022300,Lenguados (Solea spp.) ,Lenguados (Solea spp.) ,6,S
03022911,Entero ,Entero ,6,S
03022912,Descabezado y eviscerado («HG»),Descabezado y eviscerado («HG»),6,S
03022919,Los demás,Los demás,6,S
03022921,Entero,Entero,6,S
03022922,Descabezado y eviscerado («HG»),Descabezado y eviscerado («HG»),6,S
03022929,Los demás,Los demás,6,S
03022990,Los demás,Los demás,6,S
03023110,Enteros,Enteros,6,S
03023120,Descabezados y eviscerados («HG»),Descabezados y eviscerados («HG»),6,S
03023190,Los demás,Los demás,6,S
03023200,Atunes de aleta amarilla (rabiles) (Thunnus albacares),Atunes de aleta amarilla (rabiles) (Thunnus albacares),6,S
03023300,Listados o bonitos de vientre rayado   ,Listados o bonitos de vientre rayado   ,6,S
03023400,Patudos o atunes ojo grande (Thunnus obesus),Patudos o atunes ojo grande (Thunnus obesus),6,S
03023500,Atunes comunes o de aleta azul (Thunnus thynnus),Atunes comunes o de aleta azul (Thunnus thynnus),6,S
03023600,Atunes del sur (Thunnus maccoyii),Atunes del sur (Thunnus maccoyii),6,S
03023900,Los demás,Los demás,6,S
03024000,"Arenques (Clupea harengus, Clupea pallasii), excepto los  hígados, huevas y lechas","Arenques (Clupea harengus, Clupea pallasii), excepto los  hígados, huevas y lechas",6,S
03025000,"Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus),excepto los hígados, huevas y lechas","Bacalaos (Gadus morhua, Gadus ogac, Gadus macrocephalus),excepto los hígados, huevas y lechas",6,S
03026111,Enteras,Enteras,6,S
03026112,Descabezadas y evisceradas («HG»),Descabezadas y evisceradas («HG»),6,S
03026119,Las demás ,Las demás ,6,S
03026190,Los demás,Los demás,6,S
03026200,Eglefinos (Melanogrammus aeglefinus),Eglefinos (Melanogrammus aeglefinus),6,S
03026300,Carboneros (Pollachius virens),Carboneros (Pollachius virens),6,S
03026400,"Caballas (Scomber scombrus, Scomber australasicus,Scomber japonicus)","Caballas (Scomber scombrus, Scomber australasicus,Scomber japonicus)",6,S
03026510,Tiburón (Marrajo)(Isurus oxyrinchus) y azulejo (Prionace glauca),Tiburón (Marrajo)(Isurus oxyrinchus) y azulejo (Prionace glauca),6,S
03026590,Los demás,Los demás,6,S
03026600,Anguilas (Anguilla spp.) ,Anguilas (Anguilla spp.) ,6,S
03026710,Enteros,Enteros,6,S
03026720,"Descabezados y eviscerados (""HG"")","Descabezados y eviscerados (""HG"")",6,S
03026790,Los demás,Los demás,6,S
03026811,Entero,Entero,6,S
03026812,"Descabezado y eviscerado (""HG"")","Descabezado y eviscerado (""HG"")",6,S
03026819,Los demás,Los demás,6,S
03026890,Los demás,Los demás,6,S
03026921,"Merluza común (Merluccius gayi gayi), entera","Merluza común (Merluccius gayi gayi), entera",6,S
03026922,"Merluza común (Merluccius gayi gayi), descabezada y eviscerada («HG»)","Merluza común (Merluccius gayi gayi), descabezada y eviscerada («HG»)",6,S
03026923,"Merluza del sur (Merluccius australis), entera","Merluza del sur (Merluccius australis), entera",6,S
03026924,"Merluza del sur (Merluccius australis), descabezada y eviscerada («HG»)","Merluza del sur (Merluccius australis), descabezada y eviscerada («HG»)",6,S
03026929,Las demás,Las demás,6,S
03026931,Entero,Entero,6,S
03026932,Descabezado y eviscerado («HG»),Descabezado y eviscerado («HG»),6,S
03026939,Los demás,Los demás,6,S
03026940,Corvina (Cilus gilberti),Corvina (Cilus gilberti),6,S
03026951,Entera,Entera,6,S
03026952,Descabezada y eviscerada («HG»),Descabezada y eviscerada («HG»),6,S
03026959,Las demás,Las demás,6,S
03026961,Entera,Entera,6,S
03026962,Descabezada y eviscerada («HG»),Descabezada y eviscerada («HG»),6,S
03026969,Las demás,Las demás,6,S
03026981,"Congrio dorado (Genypterus blacodes), entero","Congrio dorado (Genypterus blacodes), entero",6,S
03026982,"Congrio dorado (Genypterus blacodes), descabezado y eviscerado («HG»)","Congrio dorado (Genypterus blacodes), descabezado y eviscerado («HG»)",6,S
